"DataEntries: 8756, TestEntries: 1, Epochs: 3000, UseTestData: true, LimitEntries: true, Firstlayer#: 16, SecondLayer: true, SecondLayer#: 23, Predict: true, Curvebehaviour: false, Stacksize: 6, useLastXDays: false, Max: 632.0, Min: 61.0, Curve behaviour: false, Historical: true, useAverage: false, priceStack24, Skewness: false, SkewStack: 12",", useNewMethod: false"
"Range: 6567 to 8756"
"Actual","Ideal"
"345.0823109277283","368.0755711775062"
"356.7982166830202","345.9982425307552"
"343.6807470454794","350.012302284705"
"364.9611909516817","373.0931458699541"
"408.5092793400927","430.293497363758"
"503.8685908390611","508.5676625658775"
"384.1055749688806","382.12478031621197"
"341.23740289426365","324.9244288224938"
"318.6549084765257","317.899824253198"
"318.5543914920771","319.9068541300459"
"312.8576837337013","313.8857644990455"
"305.7823326659774","303.850615114378"
"300.95616344131844","305.85764499131153"
"299.4095470756488","296.8260105446825"
"290.4523359519432","295.82249560635853"
"295.84352681491714","297.829525483292"
"298.25423192674066","293.815465729425"
"302.0318998059526","307.864674868245"
"345.38703500089446","335.9630931458565"
"382.59440563535526","378.110720562345"
"347.70168373266995","336.9666080843518"
"331.12340757177884","332.9525483303991"
"326.6993507278469","328.93848857644645"
"324.7794055474367","336.9666080843518"
"348.63154810124837","334.9595782073897"
"325.11558160866457","329.94200351494175"
"327.03729066798024","327.93497363795115"
"335.5841519103381","329.94200351494175"
"340.7063890738864","364.06151142355355"
"388.395010125547","385.135325131755"
"327.2652727108645","344.9947275922685"
"316.84227616424204","321.9138840070365"
"306.9711800831492","319.9068541300459"
"314.94758996706236","317.899824253198"
"306.43264439157554","312.8822495607215"
"302.58836559813545","303.850615114378"
"298.352342661437","304.854130052702"
"295.5096708702409","293.815465729425"
"285.40566799839274","280.769771528929"
"284.2535872484647","277.7592267136715"
"281.60119888041106","281.77328646753847"
"295.13715089299814","288.7978910369485"
"309.07117070583166","298.8330404219015"
"291.6064968298196","311.878734622112"
"298.7145673079799","317.899824253198"
"309.03510365513864","318.9033391915506"
"316.3126551946358","318.9033391915506"
"318.7924474193611","318.9033391915506"
"325.4060492680057","312.8822495607215"
"310.10189566611996","311.878734622112"
"309.6459623543371","313.8857644990455"
"321.6945967502262","318.9033391915506"
"344.2592575404683","330.94551845343705"
"334.7497617218144","334.9595782073897"
"323.8709586967348","328.93848857644645"
"314.8457782486031","319.9068541300459"
"311.2476739225191","316.8963093145885"
"316.7642938744181","320.9103690685412"
"311.5565821360396","321.9138840070365"
"310.27143069714214","313.8857644990455"
"317.13182533303706","318.9033391915506"
"310.2265884186556","307.864674868245"
"304.4839981289086","292.8119507908155"
"292.22953755069085","291.80843585249147"
"301.8129093252839","293.815465729425"
"309.3737405080373","293.815465729425"
"307.3514390769038","288.7978910369485"
"290.60453945658367","290.80492091388203"
"297.5599299313416","298.8330404219015"
"319.08579510360374","319.9068541300459"
"320.0346121812202","327.93497363795115"
"340.2578188522507","325.9279437609891"
"330.81956255952156","323.9209138839985"
"320.2641756269899","320.9103690685412"
"318.67499441146515","318.9033391915506"
"332.17266044881546","322.9173989455318"
"349.43988982742167","345.9982425307552"
"357.7000044470743","350.012302284705"
"324.742042043404","341.9841827767997"
"323.5628868483631","332.9525483303991"
"313.73159488254765","326.9314586994844"
"325.3475613675266","329.94200351494175"
"318.75544897724996","321.9138840070365"
"310.9747406622547","307.864674868245"
"312.8306466331339","309.8717047451785"
"305.6098245933837","300.84007029883503"
"295.88022794875485","289.8014059752725"
"293.13230942859025","289.8014059752725"
"296.9111063048252","296.8260105446825"
"313.7390239711808","318.9033391915506"
"360.3681301945858","344.9947275922685"
"369.93710489961455","366.0685413005156"
"354.367870751809","333.9560632688944"
