"DataEntries: 8756, TestEntries: 3, Epochs: 200, UseTestData: true, LimitEntries: true, Firstlayer#: 16, SecondLayer: true, SecondLayer#: 23, Predict: true, Curvebehaviour: false, Stacksize: 6, useLastXDays: false, Max: 632.0, Min: 61.0, Curve behaviour: false, Historical: true, useAverage: false, priceStack24, Skewness: false, SkewStack: 12",", useNewMethod: false"
"Range: 6567 to 8756"
"Actual","Ideal"
"333.68726326246815","368.0755711775062"
"359.36975001386014","345.9982425307552"
"346.79309609894756","350.012302284705"
"362.1719831905493","373.0931458699541"
"414.95176467642943","430.293497363758"
"486.1441905601257","508.5676625658775"
"398.5835243325971","382.12478031621197"
"348.92518433535315","324.9244288224938"
"313.2872468979923","317.899824253198"
"319.4122447145647","319.9068541300459"
"311.8303982890083","313.8857644990455"
"306.0141988369479","303.850615114378"
"302.69561848074807","305.85764499131153"
"296.73103605283507","296.8260105446825"
"294.5233238831071","295.82249560635853"
"293.5852322599149","297.829525483292"
"297.36916882418325","293.815465729425"
"308.83841333182426","307.864674868245"
"334.3190544677471","335.9630931458565"
"362.244942735068","378.110720562345"
"342.4021946737856","336.9666080843518"
"341.5626876465839","332.9525483303991"
"328.4448909239851","328.93848857644645"
"341.2472489394712","336.9666080843518"
"339.38413242580253","334.9595782073897"
"329.13544771309","329.94200351494175"
"330.3221134160761","327.93497363795115"
"345.9051951901762","329.94200351494175"
"357.613260062329","364.06151142355355"
"379.17621389266304","385.135325131755"
"332.0370120787703","344.9947275922685"
"322.78560724448937","321.9138840070365"
"299.8475328448171","319.9068541300459"
"308.96543527866913","317.899824253198"
"308.2914489389577","312.8822495607215"
"301.14128410777175","303.850615114378"
"298.2051448503911","304.854130052702"
"293.3619940942775","293.815465729425"
"287.7371639913414","280.769771528929"
"278.16212219770415","277.7592267136715"
"276.4357896384645","281.77328646753847"
"291.2609983758744","288.7978910369485"
"301.4608112612809","298.8330404219015"
"296.16458047086655","311.878734622112"
"308.0539806073223","317.899824253198"
"311.3208158635964","318.9033391915506"
"313.54173197940077","318.9033391915506"
"323.47766950255715","318.9033391915506"
"318.22349576853895","312.8822495607215"
"303.76411633164383","311.878734622112"
"308.4869500158027","313.8857644990455"
"328.0176168713537","318.9033391915506"
"339.21991218760274","330.94551845343705"
"338.1043778390204","334.9595782073897"
"314.26946673302706","328.93848857644645"
"313.3159451866224","319.9068541300459"
"304.2135483698552","316.8963093145885"
"312.51920110975647","320.9103690685412"
"314.8664263057951","321.9138840070365"
"318.6947069703587","313.8857644990455"
"315.2261037520789","318.9033391915506"
"319.927020410427","307.864674868245"
"310.4905775996074","292.8119507908155"
"292.68649550964165","291.80843585249147"
"300.4538033186575","293.815465729425"
"303.6126652700706","293.815465729425"
"312.71720016562574","288.7978910369485"
"287.0777776043459","290.80492091388203"
"295.37371588645476","298.8330404219015"
"300.4221630651384","319.9068541300459"
"318.07749296839125","327.93497363795115"
"330.5520282943018","325.9279437609891"
"329.6535634492188","323.9209138839985"
"320.90020116885506","320.9103690685412"
"324.4086807388035","318.9033391915506"
"334.9380065801669","322.9173989455318"
"348.1700616274163","345.9982425307552"
"363.1060257962647","350.012302284705"
"329.5086054824081","341.9841827767997"
"324.68989466866924","332.9525483303991"
"315.90178861765696","326.9314586994844"
"321.3023154747953","329.94200351494175"
"326.2993516366881","321.9138840070365"
"319.59146547246286","307.864674868245"
"310.42152368345575","309.8717047451785"
"309.79195724155716","300.84007029883503"
"300.81533836201214","289.8014059752725"
"286.86722491648925","289.8014059752725"
"291.5320431038331","296.8260105446825"
"308.7565143793942","318.9033391915506"
"345.72769994260926","344.9947275922685"
"376.6705553099321","366.0685413005156"
"341.3047247524574","333.9560632688944"
