"DataEntries: 8756, TestEntries: 4, Epochs: 200, UseTestData: true, LimitEntries: true, Firstlayer#: 16, SecondLayer: true, SecondLayer#: 23, Predict: true, Curvebehaviour: false, Stacksize: 6, useLastXDays: false, Max: 632.0, Min: 61.0, Curve behaviour: false, Historical: true, useAverage: false, priceStack24, Skewness: false, SkewStack: 12",", useNewMethod: false"
"Range: 6567 to 8756"
"Actual","Ideal"
"341.9441136720266","368.0755711775062"
"356.9704143686797","345.9982425307552"
"342.9233590450421","350.012302284705"
"368.8163178576668","373.0931458699541"
"400.9221594457291","430.293497363758"
"483.81820740854545","508.5676625658775"
"385.6139916077171","382.12478031621197"
"348.0844927246001","324.9244288224938"
"312.15852676521536","317.899824253198"
"318.7065187902822","319.9068541300459"
"316.21441439350946","313.8857644990455"
"307.61128871530457","303.850615114378"
"299.7917155962301","305.85764499131153"
"299.1962892826967","296.8260105446825"
"294.66133633230635","295.82249560635853"
"299.113644986288","297.829525483292"
"301.8915958568553","293.815465729425"
"309.3160338683161","307.864674868245"
"326.32463113152926","335.9630931458565"
"372.85043120958875","378.110720562345"
"344.69908610749707","336.9666080843518"
"333.2698807755973","332.9525483303991"
"326.75281273098165","328.93848857644645"
"338.1140442229349","336.9666080843518"
"335.1664182465314","334.9595782073897"
"332.5005339520351","329.94200351494175"
"330.57928046451633","327.93497363795115"
"341.03150083104833","329.94200351494175"
"350.53844795321254","364.06151142355355"
"361.4636110119097","385.135325131755"
"331.22429437302225","344.9947275922685"
"322.59794959882197","321.9138840070365"
"307.49930206656984","319.9068541300459"
"317.4279122314551","317.899824253198"
"308.49903489365084","312.8822495607215"
"309.04048347043835","303.850615114378"
"300.23708741011745","304.854130052702"
"302.8678178978405","293.815465729425"
"294.8620066049416","280.769771528929"
"288.0406759842973","277.7592267136715"
"285.9694965789635","281.77328646753847"
"293.3971198852205","288.7978910369485"
"294.0478541057581","298.8330404219015"
"294.3089936153571","311.878734622112"
"307.3135949923993","317.899824253198"
"313.3939437567737","318.9033391915506"
"319.8051735370619","318.9033391915506"
"314.18703788972675","318.9033391915506"
"322.105602785576","312.8822495607215"
"307.0655988527813","311.878734622112"
"312.3543638188429","313.8857644990455"
"317.4093473819743","318.9033391915506"
"337.5419294642656","330.94551845343705"
"331.89322094235644","334.9595782073897"
"318.4752660604195","328.93848857644645"
"327.21988157665857","319.9068541300459"
"314.1615849642247","316.8963093145885"
"315.1973862484832","320.9103690685412"
"313.49055369902294","321.9138840070365"
"307.12637410807747","313.8857644990455"
"314.262032313134","318.9033391915506"
"308.62165803948704","307.864674868245"
"294.23350508772626","292.8119507908155"
"288.37187223470283","291.80843585249147"
"293.210540485306","293.815465729425"
"301.3743992990506","293.815465729425"
"307.2295035084777","288.7978910369485"
"287.8431180161323","290.80492091388203"
"296.3381901345947","298.8330404219015"
"302.01275147311213","319.9068541300459"
"314.47007068858005","327.93497363795115"
"322.3675614962035","325.9279437609891"
"322.77052944475236","323.9209138839985"
"311.67407006240876","320.9103690685412"
"316.90083072660644","318.9033391915506"
"319.35801254761674","322.9173989455318"
"330.74798000757266","345.9982425307552"
"342.51682824376985","350.012302284705"
"329.3125859163598","341.9841827767997"
"334.85098552498624","332.9525483303991"
"318.70824332327925","326.9314586994844"
"322.78223750453185","329.94200351494175"
"320.31717753935675","321.9138840070365"
"308.1158454708229","307.864674868245"
"311.1933602610888","309.8717047451785"
"300.01912435988226","300.84007029883503"
"291.7607795987028","289.8014059752725"
"286.2764127173635","289.8014059752725"
"296.76133280094655","296.8260105446825"
"307.8216890485482","318.9033391915506"
"342.6789074946277","344.9947275922685"
"361.06010433723253","366.0685413005156"
"341.84376682094273","333.9560632688944"
